CPU_Time(ms),Memory(KB),Energy(kWh),Carbon_Emission(gCO₂),Efficiency_Label,Functions,Loops,Variables,Control_Flows,Language_JavaScript,Language_Python
0.5755555555555556,0.9811662946428572,0.575555555555556,0.5755555555555556,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.94,0.9587053571428572,0.94,0.9400000000000002,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.8633333333333333,0.6865234375,0.863333333333336,0.8633333333333333,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.7288888888888889,0.294921875,0.728888888888892,0.7288888888888889,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.45,0.49944196428571425,0.45,0.45,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.45555555555555555,0.3292410714285714,0.455555555555556,0.45555555555555555,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.7144444444444444,0.5535714285714286,0.714444444444444,0.7144444444444443,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.19333333333333336,0.37639508928571425,0.19333333333333597,0.19333333333333336,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.04222222222222222,0.8482142857142856,0.04222222222222402,0.0422222222222222,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.2577777777777778,0.18638392857142855,0.25777777777778,0.2577777777777778,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.3488888888888889,0.7371651785714286,0.34888888888889197,0.34888888888888886,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.40777777777777774,0.7903180803571428,0.40777777777777996,0.40777777777777785,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.4444444444444445,0.045340401785714274,0.44444444444444403,0.4444444444444445,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.9355555555555555,0.6164899553571428,0.9355555555555559,0.9355555555555557,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.9755555555555555,0.25237165178571425,0.975555555555556,0.9755555555555553,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.35555555555555557,0.2823660714285714,0.355555555555556,0.3555555555555556,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.10777777777777778,0.5245535714285714,0.10777777777778003,0.10777777777777776,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.8266666666666667,0.33440290178571425,0.826666666666668,0.8266666666666667,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.21444444444444444,0.18680245535714285,0.214444444444444,0.21444444444444444,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.07555555555555557,0.8853236607142858,0.07555555555555601,0.07555555555555558,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.9288888888888889,0.1767578125,0.928888888888892,0.9288888888888889,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.15111111111111114,0.9006696428571428,0.15111111111111203,0.15111111111111114,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.5911111111111111,0.9609375,0.591111111111112,0.5911111111111111,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.5477777777777777,0.9239676339285714,0.5477777777777799,0.5477777777777777,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.8933333333333333,0.6043526785714286,0.893333333333336,0.8933333333333333,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.5766666666666667,0.7017299107142856,0.576666666666668,0.5766666666666667,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.0022222222222222227,0.5132533482142856,0.002222222222224013,0.0022222222222222227,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.35000000000000003,0.6145368303571428,0.35,0.35,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.6788888888888889,0.41755022321428564,0.678888888888892,0.6788888888888889,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.35555555555555557,0.36509486607142855,0.355555555555556,0.3555555555555556,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.29333333333333333,0.6304408482142856,0.293333333333336,0.29333333333333333,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.36444444444444446,0.2427455357142857,0.36444444444444396,0.36444444444444457,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.4222222222222222,0.28292410714285715,0.422222222222224,0.42222222222222233,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.1588888888888889,0.8671875,0.15888888888889202,0.1588888888888889,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.8366666666666667,0.9556361607142858,0.836666666666668,0.8366666666666667,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.20222222222222225,0.7614397321428572,0.20222222222222402,0.20222222222222225,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.32666666666666666,0.3550502232142857,0.32666666666666805,0.32666666666666666,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.74,0.34933035714285715,0.74,0.74,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.17888888888888888,0.35142299107142855,0.17888888888889204,0.17888888888888893,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.32555555555555554,0.5179966517857142,0.32555555555555604,0.32555555555555554,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.18222222222222223,0.6674107142857142,0.182222222222224,0.18222222222222223,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.7366666666666666,0.7029854910714286,0.7366666666666681,0.7366666666666667,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.52,0.3505859375,0.52,0.52,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.38333333333333336,0.36174665178571425,0.383333333333336,0.38333333333333336,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.8866666666666667,0.5556640625,0.886666666666668,0.8866666666666667,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.09666666666666668,0.7506975446428572,0.09666666666666801,0.09666666666666661,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.9588888888888889,0.8756975446428572,0.958888888888892,0.9588888888888889,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.8488888888888888,0.8561662946428572,0.8488888888888919,0.8488888888888888,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.05000000000000002,0.986328125,0.04999999999999999,0.05,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.11222222222222222,0.36118861607142855,0.11222222222222403,0.11222222222222224,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.007777777777777786,0.9102957589285714,0.007777777777779993,0.007777777777777772,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.5155555555555555,0.42061941964285715,0.515555555555556,0.5155555555555555,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.6477777777777778,0.625,0.64777777777778,0.6477777777777778,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.9622222222222221,0.2774832589285714,0.9622222222222239,0.9622222222222223,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.9288888888888889,0.8650948660714286,0.928888888888892,0.9288888888888889,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.7566666666666666,0.8335658482142856,0.7566666666666682,0.7566666666666666,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.007777777777777786,0.24539620535714285,0.007777777777779993,0.007777777777777772,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.5744444444444445,0.6244419642857142,0.5744444444444441,0.5744444444444444,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.8133333333333332,0.5015345982142856,0.8133333333333359,0.8133333333333332,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.20777777777777778,0.3184988839285714,0.20777777777778,0.20777777777777784,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.7722222222222221,0.8582589285714286,0.7722222222222239,0.7722222222222223,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.9788888888888889,0.38560267857142855,0.978888888888892,0.9788888888888889,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.4766666666666666,0.3095703125,0.47666666666666807,0.4766666666666666,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.15666666666666668,0.7709263392857142,0.156666666666668,0.15666666666666673,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.09444444444444444,0.064453125,0.094444444444444,0.09444444444444448,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.7488888888888889,0.12723214285714285,0.7488888888888918,0.7488888888888888,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.37,0.24832589285714285,0.37,0.37,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.6788888888888889,0.35784040178571425,0.678888888888892,0.6788888888888889,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.15555555555555556,0.6541573660714286,0.155555555555556,0.1555555555555556,0,['sum_array'],0,"['arr', 'sum']",0,0.0,1.0
0.9022222222222223,0.45089285714285715,0.902222222222224,0.9022222222222223,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
0.9566666666666666,0.044921875,0.9566666666666679,0.9566666666666663,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.7422222222222221,0.007254464285714274,0.7422222222222241,0.7422222222222222,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.3577777777777778,0.6428571428571428,0.35777777777778,0.3577777777777778,1,['nested_loop'],2,"['print', 'arr', 'i', 'j']",0,0.0,1.0
0.36444444444444446,0.25962611607142855,0.36444444444444396,0.36444444444444457,0,['merge_sort'],0,"['len', 'merge_sort', 'arr', 'L', 'R', 'mid']",1,0.0,1.0
0.18,0.8438895089285714,0.18,0.18,1,['bubble_sort'],2,"['n', 'i', 'len', 'range', 'arr', 'j']",1,0.0,1.0
0.9722222222222221,0.2940848214285714,0.9722222222222239,0.9722222222222223,0,['find_max'],1,"['max_val', 'arr', 'i']",1,0.0,1.0
